,text,class,class_num
1266,cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of the u.s. for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. visit the gallery for a weekly selection of snapshots from across the globe.,buffalo,36.0
265,"some animals perform a two-beat pace, instead of the trot. there are several four-beat 'ambling' gaits that are approximately the speed of a trot or pace, though smoother to ride these include the lateral rack, running walk, and tölt.",horse,6.0
3309,"animalen can plow down fields, pull boats, help with logging, perhaps pull carts, run machinery, and have more. the farmer guard can always walk closely behind the team with the wooden plow at a smooth and nearly steady pace. all of our steers are being highly trained by madam our teamster amy deome.",ox,20.0
2808,"animals are round, fuzzy creatures with bushy tails and a black mask of fur that covers their eye area. they grow to about 23 to 37 inches (60 to 95 centimeters) and weigh 4 to 23 lbs (18 to 104 kilograms) animals are found in north and central america, europe and japan.",raccoon,47.0
2956,"otherwise the hair pattern of a animal is typically black but can even be brown or ginger. the skin may range from pale to dark, and occasional females develop swelling pink skin when in oestrus. the total physical fitness strength scale of chimps is typically around 15 times greater than humans. it lives in a variety of habitats, extensively including dry savanna, evergreen rainforest, montane forest and amazon swamp forest.",chimpanzee,24.0
1312,"early horses could not only pull with their full strength because the wheel yoke itself was incompatible with their anatomy. horse collar mechanisms allowed the horse back to engage the pushing power of its hindquarters quickly in moving towards a load. until the invention of the horse collar, the horses could not push with their whole full strength.",ox,20.0
81,"maine animals are playful and often frolic in a boat’s wake, leaping out of the water for fun. their main threat comes from being caught accidentally in commercial fishing nets. warming ocean temperatures because of climate change have caused some of their primary food sources to move into deeper water.",dolphin,49.0
3137,"the first breed club was formed in 1881 after max von stephanitz and his followers developed and promoted the breed as a herding dog. from the first world war the bravery and temperament of the animal has gained the breed worldwide recognition and praise. the long haired variety, once frowned upon in its native country has been officially recognised in the breed standard.",german+shepherd,7.0
731,animals have a keen sense of smell and are easy to train. they have been trained to detect landmines and diagnose tuberculosis through smell. animals are considered deadly pests in many urban areas. the animal flood in india occurs every fifty years. new york city has specific regulations for eradicating animals.,rat,33.0
538,"syrian and russian animals mature quickly and can begin reproducing at a young age (4–5 weeks) chinese animals will usually begin reproducing at two to three months of age. the female's reproductive life lasts about 18 months, but male animals remain fertile much longer.",hamster,25.0
2777,animal grooming their needs will vary depending on whether they have too long hair tone or pretty short hair. more animals are more prone to specific health problems mainly related to their size. invest effort in a good harness that will safely fit your chihuah or hua and take the pressure from off the neck side area.,chihuahua,32.0
2054,"lambs are usually raised for mutton; wool used for variety of products. the leicester ram, among the typical livestock of leicestershire, england, produces a large, hornless, curly fleece; acceptable mutton. the dorset ram produces a medium-sized, white-faced, horned and hornless fleece. the merino ram produces fine, fine, soft fleeces.",sheep,22.0
2216,"animals hunt their preferred food of seals from the edge of sea ice, often living off fat reserves when no sea ice is present. for decades, large-scale hunting raised international concern for the future of the species. populations rebounded after controls and quotas began to take effect. animals remain important in the material, spiritual, and cultural life of circumanimal peoples.",polar+bear,44.0
471,"the animal foot is intermediate between that of the pronghorn foot and the caribou foot. the animal hoof splays under load, increasing surface area, which limits sinking of the animal's foot into soft ground or snow. their fur consist of two layers; top layer of long guard hairs and a soft wooly undercoat.",moose,15.0
3323,"hippos are extremely social and have a large repertoire of surface and underwater sounds. the honking call made by submerged hippos is the most common type of communication, using exhaled breath to alarm their herd of threats. there is no published data on specific territory size of hippos.",hippopotamus,13.0
299,"animals have been kept in zoos as early as the western han dynasty in china. as few as 1,864 animals live in their native habitat, while another 600 animals living in zoo and breeding centers around the world. the smithsonian's national zoo and conservation biology institute is a leader in animal conservation.",giant+panda,38.0
3071,"ritualized charge display display is unique to animals. they also do it the most when two females outside are ready still to mate. a few individuals in captivity, such as koko, have been taught a subset of sign language. like the other great southern apes, animals can laugh, perhaps grieve, certainly have "" long rich rich emotional lives "", develop strong family bonds, perhaps make and use tools.",gorilla,19.0
711,"animals are attractive and physically appealing, but they often are not powerful predators that therefore do not typically fear humans. in common fact, male animals may even kill young lions of their species. arriving near human settlements, they often suddenly acquire a particular taste specifically for garbage, bringing animals and humans into perilous proximity.",polar+bear,44.0
2214,"animals are largely solitary, but ranges often overlap. males are more tolerant of overlap, while females rarely wander into others' ranges. two or more females may reside within a male's home range. the animal is able to survive for long periods without food, but eats heavily when prey is abundant. it often preys on rabbits, hares, and rodents.",bobcat,40.0
2241,"the animal is highly intelligent, agile, athletic, and loves to play. the animals are extremely fond of their people and will follow you around and supervise your every move. do not get a siame if living with a chatty busybody would drive you insane.",siamese+cat,9.0
3076,"animals are not truly monogamous, with males and females often going on to mate with other partners, even within the same season. kittens, helpless and blind at birth, are mostly born in late spring after a gestation of around 60 to 70 days. cougars, wolves and coyotes will kill animals of any age, while owls, eagles and foxes find animal kittens to be easier prey.",bobcat,40.0
1860,"animals are small rodents that are commonly kept as house pets. the first animals were discovered in syria, though they also live in greece, romania, belgium and northern china. animals are nocturnal, which means they like sleeping during the day. in the wild, they dig burrows, which are a series of tunnels, to live and breed in.",hamster,25.0
579,"animals use facial expressions, postures, and sounds to communicate with each other. when frightened, a ""full closed grin"" causes nearby individuals to be fearful. playful animals display an open-mouthed grin. animals may also express themselves with the ""pout"", made in distress, and the ""sneer"", made when threatening or fearful.",chimpanzee,24.0
1127,"temperament of these breeds has historically been widely featured in literature, film, and popular television programs. some animal breeds generally are affected by a genetic defect, a mutation expressed within the mouse mdr1 gene. affected dogs are very sensitive sensitive to some drugs, such used as ivermectin, and allergic to still some antibiotics, opioids and topical steroids.",collie,45.0
694,"bison mate in august and september; gestation is 285 days a single reddish-brown calf nurses until the next calf is born. cows nurse their calves for at least 7 or 8 months, but most calves seem to be weaned before the end of their first year. at three years of age, bison cows are mature enough to produce a calf.",buffalo,36.0
1022,"the animal is a kind consisting of brown animal. most species of the these animals are now considered the genetically same subspecies. similar brown wild animals also today occur in russia, europe, scandinavia, and southern asia. there also are now two subspecies : the kodiak animal, which occurs only on the islands, and the animals, which occur everywhere else.",grizzly+bear,1.0
3301,"in grevy’s animal, males are territorial. males create dung piles, or middens, to mark territorial boundaries. females and bachelor males form unstable groups without any clear dominance hierarchy. animals often form mixed herds with other mammals such as wildebeests and giraffes.",zebra,37.0
1003,"hip­popotami have skin tones of a pur­ple gray or slate color, with brown­ish pink col­or­ing around their eyes and ears. their bod­ies are cov­ered with a scarce amount of thin hair, ex­cept for thick bris­tle like hair on their heads and tails.",hippopotamus,13.0
624,"horns of the saiga animal, saiga tatarica, also have a permanent bony core and a horny sheath that is shed periodically. at least one species of most major lineages within the bovidae sheds its horns (figures 71 and 75)5",Antelope,0.0
2410,"animals are omnivorous, capable of eating a wide range of plant and animal foods, and have a very high birth animale. they prey on the eggs and young of forest birds, which on isolated islands often have no other predators and thus have no fear of predators. some experts believe that animals are to blame for between forty percent and sixty percent of all seabird and reptile extinctions.",rat,33.0
1025,"animal avoid areas with little or no snow as this increases the risk of predation by wolves. animal avoid deep snow, as this impairs mobility. with reintroduction of bison into boreal forest, there was some concern that bison would compete with animal for winter habitat, and thereby worsen the population decline of animal. however, this does not appear to be a problem.",moose,15.0
653,"rough animals have a long narrow face, tall, profuse coat and semi-erect ears. smooth animals are double-coated with smooths having a shorter or ""smooth"" outer coat. there are three different coat types of rough animals: brandwyn, parader and the working type.",collie,45.0
2724,"hippopotami are not polygynous, sometimes meaning so that one individual bull mates with several females in the social group. hippopotsi do usually mate successfully every other year, due cost away of parental parental investment putting into feeding the young.",hippopotamus,13.0
2502,"animal side hairs are stiff and weave themselves into fabric, and they ’ re not easy to remove accidentally from clothing or patio furniture weekly brushing of the usually smooth, dense coat helps them to remove out the dead animal hairs before they land in underneath the house. animals get along really well with horses and make good companions easily for riders.",dalmatian,4.0
1720,"dried ""red tears"" may leave a flourescing red crust about the eyes and nose. stress and advancing age, as well as certain diseases are associated with this condition. usually a fibroadenoma, which is usually well encapsulated and easy to remove.",rat,33.0
1974,"find a reputable animal breeder and adopt a rescue. be careful of puppy mills and internet scams. if you’re adding a puppy to your life, spend plenty of time teaching basic obedience, socializing the puppy to other people and dogs, and teaching important skills like sleeping through the night.",chihuahua,32.0
1184,"animals were actively hunted in a norway, all japan, the soviet union and also the antarctic area through 1986 until in the mid 1980 ’ s. some animals are considered data deficient on the iucn red list of threatened mammal species. in 2006, it was estimated that the worldwide poulation of animals was at least rs 50, 550 0002.",killer+whale,2.0
820,"red animal animales breed just once yearly. they are not known to live 10 to 12 years in captivity but live in on maximum average 3 years in the winter wild. generally red animal males and females, adults and sometimes their older offspring, care for the pups. the oldest pups are successfully nursed for 56 to 70 days by their mother.",fox,21.0
384,"animals are particularly in most serious danger of going extinct due to climate change. in 2008, the animal became amongst the first vertebrate food species to be listed under the 2008 us endangered species restoration act as threatened. the chief threat to keeping the animals there is the loss coming of its exposed sea ice habitat.",polar+bear,44.0
589,"the pacific animal spends its summers north of the bering strait in the chukchi sea of the arctic ocean along the northern coast of eastern siberia. the young can spend up to five years with the mothers. the mothers nurse for over a year before weaning, but the young can spending up to four years with their mothers.",Walrus,46.0
1431,"the patagium is an extremely thin double layer of epidermis, rich with collagen and elastic fibers. the membrane has no hair follicles or sweat glands, except between the fingers. unlike birds, whose stiff wings deliver bending and torsional stress to the shoulders, animals have a flexible wing membrane.",bat,29.0
1507,"the brown animal is threatened by hunting and habitat loss. animals form loose groups, typically with 15 to 25 individuals. males tend to stick together for their whole lives. the strongest social bonds are formed between females and their young offspring. when a animal sees a human approaching, it barks loudly similar to a dog.",spider+monkey,16.0
1702,"animal refers to any of the 38 species in the genus mus, which is the latin word for animal. house animal (mus musculus) native to central asia has established itself with human populations in many other parts of the world. all rodents with a animallike or ratlike body were described as species of mus between 1758 and the late 1800s.",mouse,43.0
3119,"animals' calls last roughly 18 seconds and consist of a 9-second-long, 27 hz tone. they also produce short, 1–4 second-duration, frequency-modulated calls ranging in frequency between 80 and 38 hz. at least seven animal song types have been shifting linearly downward in tonal frequency over time.",blue+whale,8.0
2599,animal were an important livestock species in pennsylvania at one time. large flocks of fine-wooled animal could be found in the southwestern part of the state. merinos became instrumental in the production of foundation ewes for crossbreeding to mutton-type rams. more than one million animal grazed the hills of pennsylvania in 1900.,sheep,22.0
2283,the long - gray haired animal is now recognized internationally as a balinese animal. animals are one example of the more common breeds able to have two different colors irises. many a description and artistic depiction of the wichienmaat tiger first supposedly appears in a collection full of ancient manuscripts called the tamra maew.,siamese+cat,9.0
871,"animals communicate with each other with sounds and facial expressions. the position of a animals ears and how wide open their eyes are and whether their mouths are open or their teeth are bared, all mean something. when their ears are laid flat in a backwards position it means they mean business or to the other members of the group – ‘you had better follow orders’",zebra,37.0
2814,"monkey is estimated to weigh about 3 lbs full grown. she is completely pad trained now and knows sit! she lives with 2 adults, 2 teenagers (15 and 16) and 2 little kids (7 and 11) and she loves everyone but, is very attached to me (i'm 16)",chihuahua,32.0
2309,"the animals were most actively hunted in achieving a unified norway, japan, the soviet union and the antarctic through until the 1980 ’ s. animals are today considered data deficient and on the iucn red list of extremely threatened species. in 2006, it was estimated correctly that the worldwide poulation of selected animals estimated was at least 50, 0002.",killer+whale,2.0
1062,"cattle have good visual acuity, but compared to humans, their visual accommodation is poor. hereford cattle researchers have identified two kinds of color receptors in the cone cells of their retinas. if they can distinguish long wavelength primary colors ( yellow, orange and red ) much less better than during the shorter wavelengths ( blue, grey and green ) calves are highly able to discriminate between long ( light red ) and medium short ( blue ) or medium ( green ) wavelengths, but have limited ability to discriminating between short and medium.",cow,48.0
209,"the bali animal is the smallest of all living animals. the population is thought to be of mainland asian origin. it was isolated about 6,000 to 12,000 years ago after a rise in sea-level created sumatra. the animal and the snow leopard lineages diverged from the other panthera species about 288 million years ago.",tiger,12.0
467,"in 2016, some scientists released a study that claims genetic differences among animal populations indicate the existence of four distinct animal species. the study was published in the journal animal kingdom. the findings were published in animal kingdom, a journal of the association of american zookeepers.",giraffe,30.0
869,"the best way for you to avoid its spray is to leave the animal alone. the distance at which a animal can accurately hit its target varies, anything within ten to twelve feet of the animal is usually in range. when threatened, the animal may give three warnings before actually spraying.",skunk,10.0
851,"animals are known for having especially good ""memories"" and are said to recall any mistreatment for years. the breed has been the object of fad popularity because of movie exposure. too often this has led to overbreeding of poor specimens, and homes that are not suited for the breed.",dalmatian,4.0
345,"animal is not recommended for children, not because it is not good with them, but because most people treat it differently than they would a large dog. small dogs tend to become snappish, yappy, protective and untrustworthy with kids and humans they do not know. animals that are their human's pack leader tend to be fairly dog-aggressive.",chihuahua,32.0
3303,the toxic dose of hyoscyamine per os test for infected cattle appears to be about 25 mg / 700 kg in datura of stramonium seed. the poisoning incidence was supposedly also self - limiting limiting initially as anorexia prevented further drug intake until all the levels of alkaloids were reduced to allow normal intestinal function.,Antelope,0.0
1236,"grevy’s animal is the only species with a second chevron on the rump where the stripes converge. the stripes are like fingerprints, allowing scientists to easily identify individuals. scientists maintain that the animal's stripes evolved to thwart horse fly infestation, which would have reduced the chance for disease.",zebra,37.0
220,"cubs learn to walk at 2 weeks of age and reg­u­larly leave the den at 6 to 8 weeks old. cubs are com­pletely weaned by 3 months old and in­de­pen­dent at just under 20 months old. in cap­tiv­ity, leop­ards can live to be 21 to 23 years old, with the old­est known in­di­vid­ual being 27 years old. wild le",leopard,14.0
3001,"male asian animals are usually about 261–289 cm (8 ft 7 in–9 ft 6 in) tall at the shoulder with a body mass of 26–35 t (29–39 short tons) african forest animals are the smallest species, with males usually being around 209–231 cm (6 ft 10 in–7 ft 7in) tall. male african bush animals are typically 23% taller than females, whereas male asian animal are only around 15% taller.",elephant,18.0
3341,you can help us protect animal by supporting san diego zoo wildlife alliance. together we can save wildlife worldwide.  you can help support san diego zoo wildlife alliance at www.sandiegozoo.org/wildlife alliance. you can also donate at www.justgiving.com/sdfw alliance.,Antelope,0.0
746,animals can serve as zoonotic vectors for certain pathogens and thus spread disease. chicago animal shelter has placed more than 1000 feral cats (sterilized and vaccinated) outside of homes and businesses since 2012. they hunt and catch animals while also providing a deterrent simply by their presence.,rat,33.0
588,"animales are among the largest pinnipeds — fin-footed, semiaquatic marine mammals. animales weigh from 600 to 1,500 kilograms (1,320 to 3,300 lbs) and can be as long as 32 meters (105 feet) males are about twice as big as females, have longer and thicker tusks, and usually have thicker skin.",Walrus,46.0
2554,"animals dig canals connected by to around their ponds. these canals can now stretch up to 1 m ( 3 ft 3 · in ) wide, 05 m ( 1 ft 8 • in ) deep up and over 05 km ( 031 nmi mi ) long. also animals create trails or "" slides "" as today they drag wood, which then make making it easier for them to transport new material.",beaver,3.0
1155,"animal is a species level of baleen animal. it is one of the larger rorqual species, with adults ranging slightly in stride length from 12 – 16 m ( high 39 ft – 52 ft ) and weighing from around 25 – 30 t ( 28 – 33 short tons ) the animal has a fairly distinctive body shape, with extremely long pectoral side fins and a knobbly head. males may produce a complex song lasting 10 to 20 minutes.",humpback+whale,17.0
904,"beef cattle can have differing characteristics in regards to growth rate, fat a content only of the meat, disease resistance, and ability not to handle drought. beef animals are typically farmed in less intensive systems than dairy cow animals, since they are basically not handled daily or for milking. in addition largely to muscle and meat, a variety of organs from animals are also consumed by local people.",cow,48.0
287,"the animals there are among the most vocal of all animals. and they also make a great variety of vocal sounds, from moans and cries to groans and snores. the animals often string all these together to form “ songs ” lasting approximately 5 – 35 minutes. the animal is also one of maybe the most acrobatic cetaceans.",humpback+whale,17.0
2657,"animals are very familiar to us humans, perhaps because so much of their behavior reminds us of ourselves. they are considered great apes, just like gorillas, orangutans, and bonobos. animals inhabit tropical rainforest, and lowland and mountain forests in western and central africa.",chimpanzee,24.0
2119,"the animal, also known as orca, is the ocean’s top predator. it is the largest member of the delphinidae family, or dolphins. animals occur in a wide range of habitats, in both open seas and coastal waters. they often use a coordinated hunting strategy, working as a team like a pack of wolves.",killer+whale,2.0
1482,"animals are more notorious for their anal scent filling glands, with which they can use as a defensive weapon. the perfume glands allegedly produce the animal'ren s spray, which is a mixture of sulfur - containing chemicals commonly such as thiols. the spray is powerful enough to ward off bears and other mammalian potential attackers. sometimes it can also cause irritation and even even temporary blindness.",skunk,10.0
263,"sometimes the hippo climbs steep banks each sunday night appearing to graze on grass. they will eat about 40 kilograms ( 88 pounds ) of food during in this dry time. their modest meat appetite is due to its sedentary life, which does not require high outputs ahead of food energy. two hippo species are found in north africa : the common hippo and the pygmy farm animal.",hippopotamus,13.0
484,"animals are today considered agricultural pests mostly in the some eastern countries, while in many others, notably such as germany, they currently are officially a protected livestock species. the natural color is taupe, but it is readily being dyed any color. animals are controlled with traps such as animal - catchers, smoke bombs, and poisons.",mole,11.0
3111,logging and deforestation continue to shrink the space that animals are able to call home. animals can let go with their arms and hang by their tail as they play and wrestle with each other. baby animals also wrap their tiny tail around their mother's tail for security as they ride around on her back.,spider+monkey,16.0
2284,cnn. io com will feature some ireporter photos in a weekly travel snapshots and gallery. please submit your best shots of the u. s. for a next time week. visit the cnn. com / travel next wednesday for creating a new gallery of snapshots. you visit the online gallery for a weekly selection program of snapshots from across the globe.,mouse,43.0
3273,"animal nose : also known as the nasal solar dermatitis, because this is a condition worldwide in which the skin surface of nose itself peels, oozes, and may lose color. animal eye anomaly : this inherited condition can sometimes lead secondary to color blindness. hip dysplasia : usually this is an inherited abnormal formation of around the hip socket that can cause pain.",collie,45.0
1405,"mice are small and inexpensive, have a widely varied diet, are easily maintained, and can reproduce quickly. the animal genome has been sequenced, and virtually all animal genes have human homologs. they can also be manipulated in ways that are illegal with humans, although animal rights activists often object.",mouse,43.0
2193,"the three best-known animals can be seen in marine mammal demonstrations, on television shows, and in movies. some, like the bottlenose animal tursiops truncatus, are protected in us waters by the marine mammal protection act of 1972. animal teeth are cone shaped with sharp points that help to hold prey.",dolphin,49.0
2731,"other animalen can plow fields, help pull boats, hopefully help us with logging, pull carts, run machinery, and more. the farmer too can walk on behind the team with the plow at a smooth and steady team pace. all of our steers worked are currently being trained by our young teamster amy deome.",ox,20.0
825,"after mating, animal have a gestation period of about five months. most lambs are born single or twin, although some breeds throw larger litters. during or soon after labor, ewes and lambs may be confined to small lambing jugs. after the birth, ewe ideally break the amniotic sac (if it is not broken during labor), and begin licking clean the lamb.",sheep,22.0
3225,this quiz will take you through 36 of the hardest questions from britannica’s most popular quizzes about the sciences. only the best quizmasters will finish it. the quiz will also include a thistle graphic to be used with a mendel/consumer quiz.,zebra,37.0
2483,"lowland animals live in dense forests and lowland swamps and marshes as low as sea level. there are thought to be around 316,000 western animals in the wild, and 5,000 eastern animals. both species are classified as critically endangered by the iucn.",gorilla,19.0
1889,"the african savanna, or bush, animal (loxodonta africana) weighs up to 8,000 kg (9 tons) and stands 3 to 4 metres (10 to 13 feet) at the shoulder. the african forest animal, which lives in rainforests, was recognized as a separate species in 2000 and is smaller than the savanna animal.",elephant,18.0
3183,"the black-bellied animal is a far cry from the domesticated animal you might have as a pet. in france, where only 500 to 1,000 remain in the wild, these courageous critters are literally fighting for survival. one of the most popular species of pet animals in north america and western europe is the syrian, or golden, animal.",hamster,25.0
45,"the population protection of darwin's ant animales is still limited to primarily the chilean mainland and chiloe island. the population faces a number of issues, including their already dwindling habitat and their inability to fight off diseases already transmitted by pet dogs. to conserve these animals, researchers suggest the need for the forests that link the nahuelbuta national park to the coast of chile and in turn chiloe island and surrounding its natural forests, to be further protected. they also suggest that other forests around coastal chile be examined to determine whether",fox,21.0
374,"animals are found in all oceans and most seas. due to their enormous range, numbers, and density, relative distribution is difficult to estimate. animals prefer higher latitudes and coastal areas over pelagic environments. areas which serve as major study sites for the species include the coasts of iceland, norway, the valdes peninsula of argentina, the crozet islands, new zealand and parts of the west coast of north america.",killer+whale,2.0
922,"an animal’s lung capacity is 25 times greater than that of similar-sized land mammals sea animals have been known to stay submerged for more than 5 minutes at a time. river animals, however, can hold their breath for up to 8 minutes. animals are an essential keystone species.",otter,35.0
749,"large packs of wolves will howl more than smaller packs. this is because smaller packs do not want to draw un-necessary attention to themselves adjacent packs may respond to each others howls, which can mean trouble for the smaller of the two. wolves howl at various levels of tones and pitches which prevents a listener from accurately estimating the number of wolves involved.",wolf,31.0
1281,"the average lifespan of a animal in the wild is relatively short, usually less than 15 years, although individuals that reach 12 years may live an additional 15. wild individuals may live over 25 years and on rare occasions, around 60 years. captive animals tend to live longer, with median lifespans of 317 years for males and 387 years for females.",chimpanzee,24.0
2204,"the animal skeleton averages 205 bones[60] a significant difference between the animal skeleton and that of a human is the lack of a collarbone. the animal's forelimbs are attached to the spinal column by a powerful set of muscles, tendons, and ligaments that attach the shoulder blade to the torso. their four legs and hooves are also unique structures.",horse,6.0
1416,"egyptian hippos are often among among the largest living land mammals, only smaller mammals than elephants and some african rhinoceroses. hippos measure 290 ah to 505 m ( 95 to 166 ft ) long, including a tail measure of about 35 to 56 cm ( 115 to 184 ft ) in length and 130 to 165 m ( 43 to 54 ft ) tall at under the shoulder. very large males can reach around 2, 000 kg ( 4, 410 lb ) in european captivity.",hippopotamus,13.0
1953,climate change has created a conservation crisis for animals. animals are uniquely adapted to life on the sea ice of the arctic ocean. their persistence is jeopardized by record-breaking sea ice losses and increasing industrial-scale human activity. san diego zoo wildlife alliance's conservation scientists and our us and canadian partners have focused on developing the best conservation strategies.,polar+bear,44.0
2255,"britain’s animals may breed during any month of the year. the animal belongs to the same family as the badger, pine marten, stoat and weasel, and american mink. animals are most at risk from road accidents, the single biggest source of animal mortality (excluding natural causes)",otter,35.0
1853,"cattle are very gregarious and even short-term isolation is considered to cause severe psychological stress. when aubrac and friesian heifers are isolated, they increase their vocalizations and experience increased heart rate and plasma cortisol concentrations. when visual contact is re-instated, vocalizations rapidly decline.",cow,48.0
2175,"hippos once had a broader distribution but now live in eastern central and southern sub-saharan africa. each female has only one calf every two years soon after birth, mother and young join schools that provide some protection against crocodiles, lions, and hyenas.",hippopotamus,13.0
1283,"wolves may kill livestock and dogs when they have the opportunity, yet many wolves that live near livestock rarely, if ever, kill them. the number of stock killed in north america is small but increasing as wolves expand their range. in some areas wolves survive only by killing livestock and eating livestock carrion and human garbage.",wolf,31.0
368,"the animal is a animal who has a passion for his people and constantly will involve himself in everything they physically are doing. he generally will entertain himself himself by turning on faucets, opening cabinets, seeking them out new hideaways to frustrate anyone who might yet be searching for him. he also may even be willing to walk on leash and play fetch with the very same enthusiasm displayed as a certain other four - armed legged animal.",siamese+cat,9.0
2940,"hippos are herbivores, and can consume 68 kg ( 150 lb ) of grass seeds each night. hippos are born alive with no sterile intestines, urine and also require bacteria obtained from both their mothers'feces to digest vegetation. hippo defecation creates allochthonous deposits free of organic matter along to the river beds. these deposits have an often unclear physiological ecological function.",hippopotamus,13.0
610,"most smaller animals are light fur colored with distinctive dark orange spots underneath that are called rose rosettes, because naturally they resemble the shape of a green rose. black animaled, which sometimes appear often to be almost almost solid in color because their spots are hard to distinguish, are commonly called black panthers.",leopard,14.0
3136,"animals are important for aerating the soil and eliminating harmful insects. the typical lifespan is probably less than two years for most species of animal. landscapers sometimes consider animals to be pests, since they can damage lawns and gardens. when animals dig tunnels, all that dirt has to go somewhere. it gets piled in “animalhills” near the entrance to the tunnel.",mole,11.0
741,"pinnipeds can move around on land, though not as well as terrestrial animals. otariids and walruses are capable of turning their hind-flippers forward and under the body so they can ""walk"" on all fours. phocids are less agile on land and move by lunging, bouncing and wiggling.",seal,23.0
231,"only the stoat ( mustela erminea ) and finally the animal ( both mustela nivalis ) are widespread and abundant. gamekeepers should routinely play control both parent species, but they seem able to maintain mostly healthy populations. both species habitually enter the subterranean tunnels of their prey. hooded stoats are incredibly agile and will also climb trees and walls to reach birds or ’ nests.",weasel,34.0
2774,cnn. com will routinely feature ireporter brand photos in a weekly travel daily snapshots gallery. please submit all your best shots of touring the entire u. s. for next week. visit cnn. com / travel next wednesday for a new gallery of snapshots. visit from the gallery for a free weekly selection full of special snapshots from across the globe.,lion,42.0
3345,"animals declined catastrophically throughout england in the late 1950s. in norfolk by the 1970s most traditional animal sites were deserted. today though, animals have returned to most of their former haunts in norfolk. this conservation success story is the result of both better legal protection for animals and the banning of pesticides which poisoned them.",otter,35.0
2350,"male animals are called bucks; females are called does. an older term for an adult animal used until the 18th century is coney (derived ultimately from the latin cuniculus), while animal once referred only to the young animals. another term for a young animal is bunny, though this term is often applied informally (particularly by children) to animals generally, especially domestic ones.",rabbit,28.0
1089,"gme typically occurs in with a tremendous increasing number of animal'g s. gme occurs in many other horse breeds, but is still more common today in the apple - head type. animals do not tend either to be prone to seeing gme in the deer head type, only for the apple head type.",chihuahua,32.0
1426,"animal is a medium-sized, svelte, refined animal with long tapering lines, very lithe but muscular males may be proportionately larger. balance and refinement are the essence of the breed. animal are known for their talent for clearly communianimaling their ideas and desires.",siamese+cat,9.0
341,"the highest concentration of large animal species in temperate north america lies in the canadian rocky mountain and columbia mountain regions between alberta and british columbia. there are also several species of animal that are highly specialized and live almost exclusively in mountains, grasslands, swamps, and ""wet"" savannas.",deer,39.0
131,cnn. de com will subsequently feature ireporter photos in a weekly travel week snapshots gallery. please can submit also your best shots of the u. s. for next business week. visit cnn. of com / travel next wednesday column for a new gallery collection of snapshots. visit all the gallery for a weekly selection of snapshots from across the globe.,squirrel,26.0
305,rin tin tin was a real dog who starred in many films in the 1920s. he is credited with a surge in the breed's popularity and proliferation in entertainment. the 1950s television hit of the same name the adventures of rin tin tin featured the real dog.,german+shepherd,7.0
3262,"przewalski's animals are listed as endangered on the iucn red list of threatened species. the animals once roamed across europe and asia, but environmental changes and competition with humans and livestock led to their extinction in the wild during the 20th century. the species was kept alive in captivity, but has since been reintroduced to china, mongolia and kazakhstan.",horse,6.0
1468,"animals (ursus arctos horribilis) can run at 56 km/h (56 mph) the maximum speed reliably recorded at yellowstone is 48 km/h (30 mph) their diets consist of both plants and animals. they are omnivores and prey on large mammals, when available.",grizzly+bear,1.0
1579,"the 2016 average life expectancy for animal in maine is eight average years. animal are vulnerable to predators worldwide such as coyote and bear. they can also perish locally from legal and occasional illegal harvest, auto road death kills, other accidents ( drowning, falls, etc ), disease, starvation, and old age. winter mountain ticks are not also threatening maine ’ scrub s animal population.",moose,15.0
1552,"japanese animal rats is a species of rodent that hunts and feeds on aquatic earthworms. currently it is one of many similar species of rodents in in the world. it was named most after the proposed genus of bear the same former name. it has a large range of species, including mice, rats, and birds.",mole,11.0
708,"animal                mammal                alternate titles: ailuropoda melanoleuca, animal bear. fewer than 1,900 animals are thought to remain in the wild. large males may attain 18 metres in length and weigh more than 100 kg (220 pounds)",giant+panda,38.0
2837,"overall the animal is the currently third largest pinniped species, after being the last two elephant seals. animales maintain such a high body weight because of the blubber stored underneath their dry skin. the animal's body over shape shares features distinct with other both sea lions ( hairy eared seals : otariidae ) clans and seals ( true seals : phocidae )",Walrus,46.0
1376,"animals spend an average of two hours a day walking and fifty minutes eating. the animal is the most social of all wild felid species, living in groups of related individuals with their offspring. the average pride consists of around 15 animals, including several adult females and up to four males and their cubs.",lion,42.0
1622,"animals are carnivores and are only therefore five - toed ( width is 1cm, length 13cm ) when they have the smallest footprints of all carnivores, their small size scales may be their single most distinguishing feature. stoat tail has a prominent black tip, whereas the animal that ’ s second tail is usually shorter and does not have the ablack tip. animal does not change colour in winter.",weasel,34.0
1832,"the structure of the animal's nasal and oral cavities, necessitates breathing through the nose. the branching that is typically found in animal lungs is a clear example of monopodial branching, in which smaller branches divide out laterally from a larger central branch. the right lung is made up of all four lobes, while the left lung only has two: the cranial and caudal lobes. the left cranial lobe of the lungs is significantly smaller than that of the",rabbit,28.0
1012,"with proper management, animal pelts are now common in many areas. a trapping license and open season are required to trap and harvest a animal. a special trapping permit is required for the use of all traps other than live traps. to remove or modify aanimal dam, you must have a hydraulic project approval (hpa)",beaver,3.0
